transaction_id,transaction_date,account_id,transaction_type,amount,currency,merchant,description,channel
TXN001,2026-02-25,ACC1001,DEBIT,1500.00,INR,Amazon India,Online Purchase - Electronics,ONLINE
TXN002,2026-02-25,ACC1002,CREDIT,25000.00,INR,Salary Deposit,Monthly Salary Feb 2026,NEFT
TXN003,2026-02-25,ACC1003,DEBIT,750.50,INR,Swiggy,Food Delivery Order,UPI
TXN004,2026-02-25,ACC1001,DEBIT,3200.00,INR,Flipkart,Online Purchase - Clothing,ONLINE
TXN005,2026-02-25,ACC1004,CREDIT,10000.00,INR,Client Payment,Freelance Invoice Payment,IMPS
TXN006,2026-02-25,ACC1002,DEBIT,500.00,INR,Netflix,Monthly Subscription,AUTO_DEBIT
TXN007,2026-02-25,ACC1005,DEBIT,8500.00,INR,HDFC Life,Insurance Premium,AUTO_DEBIT
TXN008,2026-02-25,ACC1003,CREDIT,15000.00,INR,Refund - Myntra,Product Return Refund,ONLINE
TXN009,2026-02-25,ACC1001,DEBIT,200.00,INR,Paytm,Mobile Recharge,UPI
TXN010,2026-02-25,ACC1004,DEBIT,4500.00,INR,BigBasket,Grocery Order,ONLINE
TXN011,2026-02-25,ACC1005,CREDIT,50000.00,INR,Salary Deposit,Monthly Salary Feb 2026,NEFT
TXN012,2026-02-25,ACC1002,DEBIT,1200.00,INR,Uber,Ride Charges,UPI
TXN013,2026-02-25,ACC1003,DEBIT,6800.00,INR,MakeMyTrip,Flight Booking,ONLINE
TXN014,2026-02-25,ACC1001,CREDIT,2000.00,INR,Google Pay Reward,Cashback Reward,UPI
TXN015,2026-02-25,ACC1004,DEBIT,350.00,INR,Spotify,Annual Subscription,AUTO_DEBIT
TXN016,2026-02-25,ACC1005,DEBIT,22000.00,INR,Croma,Laptop Purchase,POS
TXN017,2026-02-25,ACC1002,DEBIT,180.00,INR,Zomato,Food Delivery,UPI
TXN018,2026-02-25,ACC1003,DEBIT,9500.00,INR,ICICI Prudential,Mutual Fund SIP,AUTO_DEBIT
TXN019,2026-02-25,ACC1001,DEBIT,650.00,INR,BookMyShow,Movie Tickets,ONLINE
TXN020,2026-02-25,ACC1004,CREDIT,30000.00,INR,Salary Deposit,Monthly Salary Feb 2026,NEFT
